duration,startDate,startStation,endDate,endStation,bike,subscription,,startPos,endPos
0h 7m 28s,12/31/2012 23:58:00,Eastern Market Metro / Pennsylvania Ave & 7th St SE,1/1/2013 0:05:00,14th & D St SE,W01301,Subscriber,,38.884:-76.995397:2.693865796764305,38.884:-76.9861:63.56484490552471
0h 6m 24s,12/31/2012 23:56:00,14th & V St NW,1/1/2013 0:02:00,Massachusetts Ave & Dupont Circle NW,W01398,Subscriber,,38.9176:-77.0321:66.63283867035868,38.9101:-77.0444:0.037382486137694
0h 6m 58s,12/31/2012 23:56:00,14th & V St NW,1/1/2013 0:03:00,Massachusetts Ave & Dupont Circle NW,W00098,Subscriber,,38.9176:-77.0321:66.63283867035868,38.9101:-77.0444:0.037382486137694
0h 3m 8s,12/31/2012 23:50:00,15th & P St NW,12/31/2012 23:53:00,Massachusetts Ave & Dupont Circle NW,W00318,Subscriber,,38.90985:-77.034438:33.998461323854,38.9101:-77.0444:0.037382486137694
0h 1m 26s,12/31/2012 23:48:00,20th St & Florida Ave NW,12/31/2012 23:50:00,20th St & Florida Ave NW,W01450,Subscriber,,38.9154:-77.0446:2.194542440324043,38.9154:-77.0446:2.194542440324043
0h 3m 1s,12/31/2012 23:47:00,Pentagon City Metro / 12th & Hayes St,12/31/2012 23:50:00,12th & Army Navy Dr,W00314,Subscriber,,38.862179:-77.059986:32.627818541961375,38.8629:-77.0528:7.307843572917494
0h 11m 32s,12/31/2012 23:41:00,New Hampshire Ave & T St NW [formerly 16th & U St NW],12/31/2012 23:53:00,14th St & Spring Rd NW,W00464,Subscriber,,38.91554:-77.03818:98.06925223097663,38.9375:-77.0328:72.092171222231
0h 3m 51s,12/31/2012 15:41:00,Park Rd & Holmead Pl NW,12/31/2012 15:45:00,Lamont & Mt Pleasant NW,W01010,Subscriber,,38.9308:-77.0315:83.7204280632172,38.9319:-77.0388:78.41949054594932
0h 3m 13s,12/31/2012 15:40:00,Eastern Market / 7th & North Carolina Ave SE,12/31/2012 15:43:00,4th & East Capitol St NE,W01143,Subscriber,,38.886952:-76.996806:36.96767879185785,38.889955:-77.000349:73.17175884869012
0h 7m 59s,12/31/2012 15:40:00,D St & Maryland Ave NE,12/31/2012 15:48:00,5th & F St NW,W00967,Subscriber,,38.894758:-76.997114:28.809089128566935,38.897222:-77.019347:96.928327974949
0h 23m 17s,12/31/2012 15:40:00,19th St & Constitution Ave NW,12/31/2012 16:03:00,S Joyce & Army Navy Dr,W20916,Subscriber,,38.8923:-77.0436:28.267586247005305,38.8637:-77.0633:5.708752822815222
0h 22m 58s,12/31/2012 15:40:00,19th St & Constitution Ave NW,12/31/2012 16:03:00,S Joyce & Army Navy Dr,W01457,Subscriber,,38.8923:-77.0436:28.267586247005305,38.8637:-77.0633:5.708752822815222
0h 20m 0s,12/31/2012 15:39:00,19th & L St NW,12/31/2012 15:59:00,4th & M St SW,W00151,Subscriber,,38.903407:-77.043648:38.31350971966825,38.8767:-77.0178:2.120123600700363
0h 7m 38s,12/31/2012 15:39:00,17th & Corcoran St NW,12/31/2012 15:47:00,10th & U St NW,W01351,Subscriber,,38.9121:-77.0387:10.021915253929913,38.9172:-77.0259:56.89066288103373
0h 10m 10s,12/31/2012 15:39:00,Convention Center / 7th & M St NW,12/31/2012 15:49:00,14th & V St NW,W01394,Subscriber,,38.90572:-77.022264:45.58029852544275,38.9176:-77.0321:66.63283867035868
0h 9m 30s,12/31/2012 11:22:00,25th St & Pennsylvania Ave NW,12/31/2012 11:31:00,New Hampshire Ave & T St NW [formerly 16th & U St NW],W00490,Subscriber,,38.903827:-77.053485:91.2733048781764,38.91554:-77.03818:98.06925223097663
0h 12m 46s,12/31/2012 11:21:00,20th St & Florida Ave NW,12/31/2012 11:34:00,M St & Pennsylvania Ave NW,W00545,Subscriber,,38.9154:-77.0446:2.194542440324043,38.905126:-77.056887:20.269144627354528
0h 49m 26s,12/31/2012 11:21:00,Park Rd & Holmead Pl NW,12/31/2012 12:11:00,25th St & Pennsylvania Ave NW,W00974,Casual,,38.9308:-77.0315:83.7204280632172,38.903827:-77.053485:91.2733048781764
0h 20m 51s,12/31/2012 11:20:00,18th St & Pennsylvania Ave NW,12/31/2012 11:41:00,Lincoln Memorial,W00290,Casual,,38.89968:-77.041539:22.059038524876794,38.888251:-77.049426:43.85899341211326
0h 23m 22s,12/31/2012 11:19:00,Park Rd & Holmead Pl NW,12/31/2012 11:43:00,25th St & Pennsylvania Ave NW,W01384,Subscriber,,38.9308:-77.0315:83.7204280632172,38.903827:-77.053485:91.2733048781764
0h 23m 26s,12/31/2012 11:19:00,Park Rd & Holmead Pl NW,12/31/2012 11:43:00,25th St & Pennsylvania Ave NW,W20001,Subscriber,,38.9308:-77.0315:83.7204280632172,38.903827:-77.053485:91.2733048781764
0h 8m 9s,12/31/2012 11:19:00,16th & Harvard St NW,12/31/2012 11:27:00,10th & U St NW,W20980,Casual,,38.926088:-77.036536:48.16606704314131,38.9172:-77.0259:56.89066288103373
0h 8m 25s,12/31/2012 11:19:00,16th & Harvard St NW,12/31/2012 11:27:00,10th & U St NW,W00947,Casual,,38.926088:-77.036536:48.16606704314131,38.9172:-77.0259:56.89066288103373
0h 9m 2s,12/31/2012 11:18:00,16th & Harvard St NW,12/31/2012 11:27:00,10th & U St NW,W00804,Casual,,38.926088:-77.036536:48.16606704314131,38.9172:-77.0259:56.89066288103373
0h 9m 7s,12/31/2012 11:18:00,16th & Harvard St NW,12/31/2012 11:28:00,10th & U St NW,W01482,Casual,,38.926088:-77.036536:48.16606704314131,38.9172:-77.0259:56.89066288103373
0h 9m 57s,12/30/2012 19:21:00,13th & D St NE,12/30/2012 19:31:00,M St & New Jersey Ave SE,W00247,Subscriber,,38.894832:-76.987633:4.104315015422677,38.8763:-77.0037:57.89359248493322
0h 4m 53s,12/30/2012 19:21:00,North Capitol St & F St NW,12/30/2012 19:26:00,1st & M St NE,W00384,Subscriber,,38.897446:-77.009888:33.10724318681378,38.9057:-77.0056:10.066673718983665
0h 6m 52s,12/30/2012 19:19:00,22nd & I St NW / Foggy Bottom,12/30/2012 19:26:00,20th St & Florida Ave NW,W01161,Subscriber,,38.90088:-77.048911:66.08616193116573,38.9154:-77.0446:2.194542440324043
0h 3m 39s,12/30/2012 19:18:00,Commerce St & Fayette St,12/30/2012 19:22:00,King St Metro,W00440,Subscriber,,38.805648:-77.05293:35.48648483461303,38.805767:-77.06072:28.61527412968402
