station,type,count,time,lat,long
Washington Blvd & 7th St N,Leave,2,LATEMORN,38.880834,-77.091129
Washington Blvd & 7th St N,Leave,2,AFTERNOON,38.880834,-77.091129
1st & Washington Hospital Center NW,Leave,7,EVENING,38.928743,-77.012457
1st & Washington Hospital Center NW,Leave,1,LATEMORN,38.928743,-77.012457
1st & Washington Hospital Center NW,Leave,1,NIGHT,38.928743,-77.012457
19th & K St NW,Leave,12,EVENING,38.902204,-77.04337
19th & K St NW,Leave,4,LATEMORN,38.902204,-77.04337
19th & K St NW,Leave,7,AFTERNOON,38.902204,-77.04337
19th & K St NW,Leave,4,NIGHT,38.902204,-77.04337
Potomac & Pennsylvania Ave SE,Leave,5,EVENING,38.8803,-76.9862
Potomac & Pennsylvania Ave SE,Leave,3,EARLYMORN,38.8803,-76.9862
Potomac & Pennsylvania Ave SE,Leave,1,LATENIGHT,38.8803,-76.9862
Potomac & Pennsylvania Ave SE,Leave,10,LATEMORN,38.8803,-76.9862
Potomac & Pennsylvania Ave SE,Leave,9,AFTERNOON,38.8803,-76.9862
Potomac & Pennsylvania Ave SE,Leave,7,NIGHT,38.8803,-76.9862
Florida Ave & R St NW,Leave,1,LATENIGHT,38.9126,-77.0135
Florida Ave & R St NW,Leave,5,EVENING,38.9126,-77.0135
Florida Ave & R St NW,Leave,18,LATEMORN,38.9126,-77.0135
Florida Ave & R St NW,Leave,18,AFTERNOON,38.9126,-77.0135
Florida Ave & R St NW,Leave,6,NIGHT,38.9126,-77.0135
Smithsonian / Jefferson Dr & 12th St SW,Leave,26,EVENING,38.888767,-77.02858
Smithsonian / Jefferson Dr & 12th St SW,Leave,5,LATEMORN,38.888767,-77.02858
Smithsonian / Jefferson Dr & 12th St SW,Leave,19,AFTERNOON,38.888767,-77.02858
Smithsonian / Jefferson Dr & 12th St SW,Leave,4,NIGHT,38.888767,-77.02858
3000 Connecticut Ave NW / National Zoo,Leave,2,EARLYMORN,38.930282,-77.055599
3000 Connecticut Ave NW / National Zoo,Leave,12,EVENING,38.930282,-77.055599
3000 Connecticut Ave NW / National Zoo,Leave,10,LATEMORN,38.930282,-77.055599
3000 Connecticut Ave NW / National Zoo,Leave,6,AFTERNOON,38.930282,-77.055599
3000 Connecticut Ave NW / National Zoo,Leave,2,NIGHT,38.930282,-77.055599
23rd & Crystal Dr,Leave,2,EVENING,38.8533,-77.0498
1st & Rhode Island Ave NW,Leave,13,LATEMORN,38.915417,-77.012289
1st & Rhode Island Ave NW,Leave,7,EVENING,38.915417,-77.012289
1st & Rhode Island Ave NW,Leave,4,EARLYMORN,38.915417,-77.012289
1st & Rhode Island Ave NW,Leave,5,AFTERNOON,38.915417,-77.012289
1st & Rhode Island Ave NW,Leave,6,NIGHT,38.915417,-77.012289
3rd & D St SE,Leave,15,EVENING,38.8851,-77.0023
3rd & D St SE,Leave,4,EARLYMORN,38.8851,-77.0023
3rd & D St SE,Leave,1,LATENIGHT,38.8851,-77.0023
3rd & D St SE,Leave,7,LATEMORN,38.8851,-77.0023
3rd & D St SE,Leave,7,AFTERNOON,38.8851,-77.0023
3rd & D St SE,Leave,13,NIGHT,38.8851,-77.0023
12th & L St NW,Leave,14,EVENING,38.903819,-77.0284
12th & L St NW,Leave,1,EARLYMORN,38.903819,-77.0284
12th & L St NW,Leave,1,LATENIGHT,38.903819,-77.0284
12th & L St NW,Leave,13,LATEMORN,38.903819,-77.0284
12th & L St NW,Leave,5,AFTERNOON,38.903819,-77.0284
12th & L St NW,Leave,10,NIGHT,38.903819,-77.0284
Central Library / N Quincy St & 10th St N,Leave,1,AFTERNOON,38.88397,-77.10783
Central Library / N Quincy St & 10th St N,Leave,2,NIGHT,38.88397,-77.10783
23rd & Eads,Leave,2,LATEMORN,38.853613,-77.053535
23rd & Eads,Leave,2,EVENING,38.853613,-77.053535
23rd & Eads,Leave,1,EARLYMORN,38.853613,-77.053535
Clarendon Blvd & N Fillmore St,Leave,3,LATEMORN,38.8881,-77.09308
